"filename", "language", "SCSS", "HTML", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"/home/voron/Web/Work/Other/Сергей сайты/amanita/about.html", "HTML", 0, 831, 0, 0, 0, 0, 7, 838
"/home/voron/Web/Work/Other/Сергей сайты/amanita/article.html", "HTML", 0, 1044, 0, 0, 0, 0, 16, 1060
"/home/voron/Web/Work/Other/Сергей сайты/amanita/blog.html", "HTML", 0, 681, 0, 0, 0, 0, 5, 686
"/home/voron/Web/Work/Other/Сергей сайты/amanita/cart.html", "HTML", 0, 583, 0, 0, 0, 0, 12, 595
"/home/voron/Web/Work/Other/Сергей сайты/amanita/catalog.html", "HTML", 0, 2492, 0, 0, 0, 0, 27, 2519
"/home/voron/Web/Work/Other/Сергей сайты/amanita/contacts.html", "HTML", 0, 672, 0, 0, 0, 0, 9, 681
"/home/voron/Web/Work/Other/Сергей сайты/amanita/css/move-slider.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 38
"/home/voron/Web/Work/Other/Сергей сайты/amanita/css/style.css", "CSS", 0, 0, 0, 4470, 0, 0, 70, 4540
"/home/voron/Web/Work/Other/Сергей сайты/amanita/delivery.html", "HTML", 0, 660, 0, 0, 0, 0, 13, 673
"/home/voron/Web/Work/Other/Сергей сайты/amanita/index.html", "HTML", 0, 3393, 0, 0, 0, 0, 16, 3409
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/accordeon.js", "JavaScript", 0, 0, 0, 0, 9, 0, 2, 11
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/cart.js", "JavaScript", 0, 0, 0, 0, 122, 8, 29, 159
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/catalog.js", "JavaScript", 0, 0, 0, 0, 90, 0, 22, 112
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/main.js", "JavaScript", 0, 0, 0, 0, 46, 1, 14, 61
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/move-slider.js", "JavaScript", 0, 0, 0, 0, 77, 28, 10, 115
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/slider.js", "JavaScript", 0, 0, 0, 0, 155, 30, 22, 207
"/home/voron/Web/Work/Other/Сергей сайты/amanita/order.html", "HTML", 0, 841, 0, 0, 0, 0, 13, 854
"/home/voron/Web/Work/Other/Сергей сайты/amanita/product.html", "HTML", 0, 670, 0, 0, 0, 2, 12, 684
"/home/voron/Web/Work/Other/Сергей сайты/amanita/service.php", "PHP", 0, 0, 243, 0, 0, 20, 25, 288
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/_media.scss", "SCSS", 1331, 0, 0, 0, 0, 18, 34, 1383
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/_mixin.scss", "SCSS", 13, 0, 0, 0, 0, 1, 1, 15
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/_res.scss", "SCSS", 84, 0, 0, 0, 0, 0, 3, 87
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/move-slider.scss", "SCSS", 40, 0, 0, 0, 0, 1, 2, 43
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/style.scss", "SCSS", 3409, 0, 0, 0, 0, 31, 317, 3757
"Total", "-", 4877, 11867, 243, 4508, 499, 140, 681, 22815
